time, Quad.Est.E.Pos, Quad.Est.S.Z
0.924992,0.082378,0.316295
0.929992,0.082829,0.316417
0.934992,0.083483,0.316600
0.939991,0.083898,0.316723
0.944991,0.084581,0.316908
0.949991,0.085034,0.317033
0.954991,0.085716,0.317220
0.959991,0.086097,0.317346
0.964991,0.086747,0.317535
0.969991,0.087186,0.317662
0.974991,0.087838,0.317854
0.979991,0.088311,0.317983
0.984991,0.088973,0.318176
0.989991,0.089312,0.318306
0.994991,0.089957,0.318502
0.999991,0.090611,0.318634
1.004991,0.105198,0.317503
1.009991,0.105688,0.317622
1.014991,0.106400,0.317801
1.019992,0.106813,0.317922
1.024992,0.107538,0.318103
1.029992,0.108008,0.318224
1.034992,0.108737,0.318408
1.039993,0.109211,0.318530
1.044993,0.109958,0.318716
1.049993,0.110452,0.318840
1.054993,0.111195,0.319027
1.059994,0.111701,0.319153
1.064994,0.112450,0.319342
1.069994,0.112913,0.319469
1.074994,0.113652,0.319660
1.079994,0.114173,0.319788
1.084995,0.114918,0.319981
1.089995,0.115367,0.320111
1.094995,0.116104,0.320306
1.099995,0.116574,0.320437
1.104996,0.106513,0.319302
1.109996,0.106757,0.319421
1.114996,0.107305,0.319600
1.119996,0.107683,0.319720
1.124997,0.108230,0.319901
1.129997,0.108585,0.320023
1.134997,0.109136,0.320206
1.139997,0.109513,0.320329
1.144997,0.110054,0.320513
1.149998,0.110407,0.320637
1.154998,0.110940,0.320824
1.159998,0.111274,0.320949
1.164998,0.111798,0.321138
1.169999,0.112127,0.321265
1.174999,0.112647,0.321455
1.179999,0.112973,0.321583
1.184999,0.113489,0.321776
1.190000,0.113686,0.321905
1.195000,0.114179,0.322099
1.200000,0.114494,0.322230
1.205000,0.111836,0.321092
1.210001,0.112334,0.321210
1.215001,0.112847,0.321390
1.220001,0.113186,0.321510
1.225001,0.113700,0.321691
1.230001,0.114094,0.321812
1.235002,0.114590,0.321995
1.240002,0.114897,0.322117
1.245002,0.115424,0.322302
1.250002,0.115784,0.322425
1.255003,0.116321,0.322612
1.260003,0.116728,0.322737
1.265003,0.117288,0.322925
1.270003,0.117547,0.323051
1.275004,0.118077,0.323241
1.280004,0.118366,0.323368
1.285004,0.118883,0.323560
1.290004,0.119193,0.323689
1.295004,0.119706,0.323883
1.300005,0.120017,0.324013
1.305005,0.090455,0.322873
1.310005,0.090391,0.322991
1.315005,0.090567,0.323170
1.320006,0.090745,0.323290
1.325006,0.090910,0.323471
1.330006,0.091082,0.323592
1.335006,0.091227,0.323774
1.340007,0.091347,0.323896
1.345007,0.091464,0.324080
1.350007,0.091547,0.324204
1.355007,0.091672,0.324390
1.360008,0.091797,0.324514
1.365008,0.091942,0.324702
1.370008,0.092129,0.324827
1.375008,0.092301,0.325017
1.380008,0.092488,0.325144
1.385009,0.092677,0.325335
1.390009,0.093123,0.325463
1.395009,0.093370,0.325656
1.400009,0.093698,0.325786
1.405010,0.098117,0.324645
1.410010,0.098145,0.324763
1.415010,0.098356,0.324942
1.420010,0.098565,0.325061
1.425011,0.098766,0.325242
1.430011,0.098804,0.325362
1.435011,0.099043,0.325544
1.440011,0.099192,0.325666
1.445011,0.099448,0.325850
1.450012,0.099617,0.325972
1.455012,0.099873,0.326158
1.460012,0.100041,0.326282
1.465012,0.100298,0.326469
1.470013,0.100362,0.326594
1.475013,0.100590,0.326783
1.480013,0.100682,0.326909
1.485013,0.100900,0.327100
1.490014,0.101123,0.327228
1.495014,0.101357,0.327420
1.500014,0.101593,0.327549
1.505014,0.126180,0.326408
1.510015,0.126458,0.326526
1.515015,0.126906,0.326704
1.520015,0.127290,0.326824
1.525015,0.127722,0.327003
1.530015,0.127969,0.327124
1.535016,0.128417,0.327305
1.540016,0.128703,0.327426
1.545016,0.129170,0.327609
1.550016,0.129484,0.327732
1.555017,0.129955,0.327917
1.560017,0.130178,0.328040
1.565017,0.130608,0.328227
